word,The Witches of Eastwick,Harry Potter and the Prisoner of Azkaban,total
peculiar,0,3,3
peanut,0,3,3
pay,0,3,3
number,0,3,3
newspaper,0,3,3
news,0,3,3
needed,0,3,3
natural,0,3,3
mirror,0,3,3
local,0,3,3
kid,0,3,3
jelly,0,3,3
janey,0,3,3
huge,0,3,3
hardships,0,3,3
handsome,0,3,3
ha,0,3,3
foreign,0,3,3
fish,0,3,3
fault,0,3,3
fabulous,0,3,3
drugs,0,3,3
disappear,0,3,3
days,0,3,3
daylight,0,3,3
darling,0,3,3
crazy,0,3,3
crawl,0,3,3
cherry,0,3,3
case,0,3,3
butter,0,3,3
broad,0,3,3
braved,0,3,3
brains,0,3,3
bone,0,3,3
bond,0,3,3
anymore,0,3,3
alexandra,0,3,3
admit,0,3,3
witches,0,2,2
wish,0,2,2
wilderness,0,2,2
waves,0,2,2
wasted,0,2,2
war,0,2,2
visions,0,2,2
vice,0,2,2
vast,0,2,2
values,0,2,2
unloads,0,2,2
uncontrollable,0,2,2
traveling,0,2,2
thursday,0,2,2
thumb,0,2,2
throw,0,2,2
tennis,0,2,2
tamed,0,2,2
tall,0,2,2
talked,0,2,2
surprise,0,2,2
superior,0,2,2
started,0,2,2
standing,0,2,2
son,0,2,2
snakes,0,2,2
smile,0,2,2
size,0,2,2
shirts,0,2,2
selfish,0,2,2
seduce,0,2,2
sea,0,2,2
schyler,0,2,2
scares,0,2,2
scale,0,2,2
reporting,0,2,2
rape,0,2,2
putting,0,2,2
prefer,0,2,2
potent,0,2,2
playing,0,2,2
pistachio,0,2,2
pissing,0,2,2
pie,0,2,2
pick,0,2,2
phrases,0,2,2
paper,0,2,2
oversimplifying,0,2,2
overreact,0,2,2
outcries,0,2,2
opinion,0,2,2
notes,0,2,2
neff,0,2,2
morality,0,2,2
mistake,0,2,2
missed,0,2,2
million,0,2,2
midwives,0,2,2
middle,0,2,2
marrow,0,2,2
mansion,0,2,2
male,0,2,2
making,0,2,2
ls,0,2,2
limit,0,2,2
landmark,0,2,2
kidding,0,2,2
jesus,0,2,2
intonation,0,2,2
hundreds,0,2,2
horse,0,2,2
history,0,2,2
guy,0,2,2
growing,0,2,2
goo,0,2,2
fruit,0,2,2
flow,0,2,2
fingers,0,2,2
families,0,2,2
failure,0,2,2
exercise,0,2,2
entire,0,2,2
egrets,0,2,2
dumb,0,2,2
dirt,0,2,2
direct,0,2,2
diddle,0,2,2
dicks,0,2,2
deserted,0,2,2
david,0,2,2
daddy,0,2,2
curse,0,2,2
coochie,0,2,2
considering,0,2,2
consciousness,0,2,2
column,0,2,2
clich,0,2,2
carol,0,2,2
burn,0,2,2
bravis,0,2,2
brava,0,2,2
brain,0,2,2
bowing,0,2,2
bother,0,2,2
boring,0,2,2
birthday,0,2,2
bigger,0,2,2
bends,0,2,2
ballroom,0,2,2
bagels,0,2,2
babies,0,2,2
attention,0,2,2
ass,0,2,2
america,0,2,2
ahead,0,2,2
afternoon,0,2,2
zucchini,0,1,1
yoo,0,1,1
wrote,0,1,1
writer,0,1,1
worked,0,1,1
witchcraft,0,1,1
wishing,0,1,1
whoo,0,1,1
wetlands,0,1,1
wet,0,1,1
