word,The Craft,Kikis Delivery Service,total
hail,0,8,8
guardians,0,8,8
pay,0,7,7
bonnie,0,7,7
watch,0,6,6
pathetic,0,6,6
north,0,6,6
killed,0,6,6
kill,0,6,6
fourth,0,6,6
earth,0,6,6
believe,0,6,6
touch,0,5,5
spell,0,5,5
shut,0,5,5
rochelle,0,5,5
real,0,5,5
read,0,5,5
paranoid,0,5,5
hair,0,5,5
gotta,0,5,5
francis,0,5,5
finger,0,5,5
connie,0,5,5
bitch,0,5,5
tricky,0,4,4
stuff,0,4,4
sisters,0,4,4
school,0,4,4
scars,0,4,4
san,0,4,4
red,0,4,4
practice,0,4,4
mom,0,4,4
makes,0,4,4
lights,0,4,4
francisco,0,4,4
football,0,4,4
five,0,4,4
feather,0,4,4
enter,0,4,4
end,0,4,4
drink,0,4,4
couch,0,4,4
book,0,4,4
board,0,4,4
bind,0,4,4
ass,0,4,4
actually,0,4,4
surprised,0,3,3
somebody,0,3,3
serpent,0,3,3
relax,0,3,3
reason,0,3,3
ray,0,3,3
nature,0,3,3
natural,0,3,3
jesus,0,3,3
heart,0,3,3
happening,0,3,3
hang,0,3,3
glamour,0,3,3
gave,0,3,3
exist,0,3,3
everybody,0,3,3
east,0,3,3
downs,0,3,3
devil,0,3,3
deep,0,3,3
corners,0,3,3
butt,0,3,3
body,0,3,3
blonde,0,3,3
bill,0,3,3
apartment,0,3,3
afraid,0,3,3
win,0,2,2
whyd,0,2,2
weirdos,0,2,2
ways,0,2,2
warm,0,2,2
wanna,0,2,2
usually,0,2,2
unto,0,2,2
uniform,0,2,2
undo,0,2,2
underneath,0,2,2
twenty,0,2,2
trust,0,2,2
tried,0,2,2
sweet,0,2,2
sucks,0,2,2
special,0,2,2
slut,0,2,2
slit,0,2,2
size,0,2,2
salon,0,2,2
rush,0,2,2
rub,0,2,2
rochelles,0,2,2
relaxed,0,2,2
reach,0,2,2
ran,0,2,2
procedure,0,2,2
policy,0,2,2
play,0,2,2
plane,0,2,2
peace,0,2,2
noninvasive,0,2,2
needle,0,2,2
nah,0,2,2
mr,0,2,2
middle,0,2,2
loved,0,2,2
learn,0,2,2
laid,0,2,2
keeps,0,2,2
juke,0,2,2
joke,0,2,2
jerk,0,2,2
jenny,0,2,2
impressed,0,2,2
howd,0,2,2
hooker,0,2,2
holy,0,2,2
green,0,2,2
goes,0,2,2
goddamn,0,2,2
glory,0,2,2
form,0,2,2
fingers,0,2,2
fear,0,2,2
experience,0,2,2
especially,0,2,2
dreams,0,2,2
dream,0,2,2
discount,0,2,2
definitely,0,2,2
days,0,2,2
darling,0,2,2
blessed,0,2,2
bleeding,0,2,2
blade,0,2,2
amazing,0,2,2
aint,0,2,2
writing,0,1,1
wrists,0,1,1
wreckage,0,1,1
wrap,0,1,1
worst,0,1,1
worship,0,1,1
world,0,1,1
wondering,0,1,1
women,0,1,1
wise,0,1,1
wick,0,1,1
whores,0,1,1
whore,0,1,1
wholeness,0,1,1
whoa,0,1,1
whered,0,1,1
whatd,0,1,1
wear,0,1,1
warranties,0,1,1
warming,0,1,1
waah,0,1,1
veins,0,1,1
upright,0,1,1
unofficially,0,1,1
unleash,0,1,1
undoing,0,1,1
treys,0,1,1
trees,0,1,1
treating,0,1,1
treat,0,1,1
travel,0,1,1
trash,0,1,1
trail,0,1,1
tragedy,0,1,1
towels,0,1,1
totally,0,1,1
todays,0,1,1
tits,0,1,1
thy,0,1,1
throat,0,1,1
threefold,0,1,1
thoughts,0,1,1
theyd,0,1,1
therapy,0,1,1
theological,0,1,1
tempting,0,1,1
temple,0,1,1
tells,0,1,1
teach,0,1,1
taxis,0,1,1
suspect,0,1,1
